chinese_,chinese
断 开 连 接,斷 開 連 接
您与服务器的连接已丢失。请重新连接以继续游戏。（错误4006）,您與伺服器的連接已丟失。請重新連接以繼續遊戲。（錯誤4006）
重新连接,重新連接
联系我们,聯系我們
下次重置：,下次重置：
50钻,50鉆
立即重置,立即重置
我的记录,我的記錄
获得了,獲得了
英雄类型,英雄類型
免费抽取,免費抽取
抽一次,抽一次
抽十次,抽十次
累计奖励,累計獎勵
城市,城市
任务,任務
设计,設計
制作详情,製作詳情
加速,加速
领取,領取
交易栏位购买,交易欄位購買
将您的交易栏位提高1,將您的交易欄位提高1
花费金砖购买,花費金磚購買
已空！,已空！
按等级筛选,按等級篩選
按品质筛选,按品質篩選
正在获取交易...,正在獲取交易...
等级1,等級1
等级2,等級2
等阶3,等階3
等级4,等級4
等级5,等級5
等级6,等級6
等级7,等級7
等级8,等級8
等级9,等級9
等级10,等級10
全 选,全 選
应用,應用
普通,普通
高级,高級
无暇,無暇
史诗,史詩
传说,傳說
全选,全選
通过物品栏满足,通過物品欄滿足
基础价值：,基礎價值：
物品栏中：,物品欄中：
交易：,交易：
新币价格,新幣價格
正在处理......,正在處理......
金砖价格,金磚價格
满足请求,滿足請求
市场报价,市場報價
配件,配件
按等阶筛选,按等階篩選
等阶1,等階1
等阶2,等階2
等阶4,等階4
等阶5,等階5
等阶6,等階6
等阶7,等階7
等阶8,等階8
等阶9,等階9
等阶10,等階10
出售大厅,出售大廳
购买大厅,購買大廳
存钱罐追踪器,存錢罐追蹤器
下一个存钱罐：,下一個存錢罐：
赚取新币来填满你的存钱罐并获得奖励！,賺取新幣來填滿你的存錢罐並獲得獎勵！
通知,通知
提示,提示
你确认要离开商会联盟吗？离开后你将无法享受联盟共享改造与研究技术等级加成！,你確認要離開商會聯盟嗎？離開後你將無法享受聯盟共享改造與研究技術等級加成！
立即完成？,立即完成？
是,是
否,否
重置任务,重置任務
花费钥匙解锁,花費鑰匙解鎖
把握机会,把握機會
选择宝箱,選擇寶箱
上次活跃,上次活躍
在线,在線
造访店铺,造訪店鋪
成员,成員
净价值,凈價值
店长在生涯中所赚取的总新币数量。,店長在生涯中所賺取的總新幣數量。
声望,聲望
通过高端装饰得到的声望分数。对实际游戏没有影响，但提高声望能提高您在排行榜上的名次。,通過高端裝飾得到的聲望分數。對實際遊戲沒有影響，但提高聲望能提高您在排行榜上的名次。
投资,投資
店长在城市中所投资的总新币数量。如果店长更换联盟，这些投资额不会清零而是跟随着店长。,店長在城市中所投資的總新幣數量。如果店長更換聯盟，這些投資額不會清零而是跟隨著店長。
已精通,已精通
这名店长已精通的纸数量。,這名店長已精通的紙數量。
已帮助,已幫助
这名店长帮助过的联盟,這名店長幫助過的聯盟
成员数量，比如帮助加,成員數量，比如幫助加
速家具升级时间。,速家具升級時間。
升星,升星
这位店长以升星的总数,這位店長以升星的總數
工人可用,工人可用
杰作!,傑作!
您制作了一件出色的物品！,您製作了一件出色的物品！
骑士盾牌,騎士盾牌
杰作！,傑作！
升级至,升級至
优良,優良
收取,收取
收到物品！,收到物品！
发现图纸！,發現圖紙！
研究此图纸并开始制作它！,研究此圖紙並開始製作它！
立即研究,立即研究
图纸升级！,圖紙升級！
时间减少20%,時間減少20%
图纸激活！,圖紙激活！
激活此图纸并开始制作它！,激活此圖紙並開始製作它！
缺少要求 - 0/1,缺少要求 - 0/1
可以收到以下资源:,可以收到以下資源:
补充资源,補充資源
冒险状态,冒險狀態
简单,簡單
剩余时间：,剩余時間：
已完成,已完成
确认赶工,確認趕工
完成,完成
解锁英雄栏位吗？,解鎖英雄欄位嗎？
派更多英雄参加冒险！,派更多英雄參加冒險！
优异的品质,優異的品質
损坏几率,損壞幾率
取消装备,取消裝備
替换装备,替換裝備
装扮,裝扮
解雇,解雇
天赋：,天賦：
坚韧,堅韌
探索中,探索中
等待中,等待中
技能,技能
转职后激活,轉職後激活
基础属性,基礎屬性
变异属性,變異屬性
穿刺伤害：,穿刺傷害：
穿刺抗性：,穿刺抗性：
燃烧伤害：,燃燒傷害：
燃烧抗性：,燃燒抗性：
精神伤害：,精神傷害：
精神抗性：,精神抗性：
电击伤害：,電擊傷害：
电击抗性：,電擊抗性：
辐射伤害：,輻射傷害：
辐射抗性：,輻射抗性：
可穿戴1阶装备,可穿戴1階裝備
点击装备,點擊裝備
转职后解锁,轉職後解鎖
转职,轉職
一键装备,一鍵裝備
需要20级可转职,需要20級可轉職
创建一个名称,創建一個名稱
解雇英雄,解雇英雄
角色,角色
增加英雄栏位,增加英雄欄位
增加1个英雄栏位,增加1個英雄欄位
招募英雄,招募英雄
去酒吧招募英雄,去酒吧招募英雄
解锁新英雄,解鎖新英雄
探险中...,探險中...
待命,待命
职业,職業
佣兵之家,傭兵之家
招募,招募
已招募,已招募
下次刷新：,下次刷新：
再次举办,再次舉辦
免费刷新,免費刷新
花费新币招募,花費新幣招募
恢复所有角色,恢復所有角色
您所有角色都将准备好再次去冒险。,您所有角色都將準備好再次去冒險。
使用酒杯恢复,使用酒杯恢復
使用新币恢复,使用新幣恢復
恢复爱丽丝,恢復愛麗絲
爱丽丝将准备好再次冒险！,愛麗絲將準備好再次冒險！
使用饮料恢复,使用飲料恢復
护卫职业凭证：,護衛職業憑證：
转职证书：,轉職證書：
使用道具升级,使用道具升級
小型经验卡,小型經驗卡
使用,使用
铁匠等级上限,鐵匠等級上限
设置,設置
音效（60%）,音效（60%）
音乐（60%）,音樂（60%）
播放UI动画（大部分）,播放UI動畫（大部分）
语言,語言
简体中文,簡體中文
储蓄罐,儲蓄罐
宝箱,寶箱
交易所,交易所
宠物,寵物
皮肤,皮膚
旋转,旋轉
木材,木材
存放,存放
编辑,編輯
应用全部,應用全部
上半身,上半身
立即购买,立即購買
衣服,衣服
自定义购买,自定義購買
取消更改,取消更改
是否确定？所有未保存的自定义选择都将丢失。,是否確定？所有未保存的自定義選擇都將丟失。
推荐,推薦
闲聊,閑聊
拒绝,拒絕
等待,等待
折扣,折扣
额外收费,額外收費
售卖,售賣
重新进货,重新進貨
交易取消,交易取消
您确定要取消交易吗？（您的新币或金条会被退回）,您確定要取消交易嗎？（您的新幣或金條會被退回）
两者都,兩者都
仅女性,僅女性
仅男性,僅男性
换模型,換模型
输入要更换的装备ID,輸入要更換的裝備ID
换装,換裝
上限：,上限：
传奇,傳奇
税额：,稅額：
您支付：,您支付：
稀有度：,稀有度：
稀有度,稀有度
价格,價格
持续时间,持續時間
返回,返回
下一步,下一步
您的挂牌（每个）,您的掛牌（每個）
您将获得（每个）,您將獲得（每個）
目标,目標
制造盔甲,製造盔甲
与顾客讨价还价可以获得和花费能量。升级您的货架即可提高您的能量上限。,與顧客討價還價可以獲得和花費能量。升級您的貨架即可提高您的能量上限。
点击收集,點擊收集
您得到:,您得到:
新币宝箱,新幣寶箱
专属,專屬
包含4个以下物品:,包含4個以下物品:
零件,零件
消耗品,消耗品
图纸卷轴,圖紙卷軸
宝箱专属,寶箱專屬
创建商会联盟,創建商會聯盟
名称,名稱
输入名称......,輸入名稱......
联盟开放度,聯盟開放度
完全公开,完全公開
最低等级,最低等級
花费新币创建,花費新幣創建
热门,熱門
玩 家,玩 家
推荐联盟,推薦聯盟
最低等级 1,最低等級 1
加入,加入
正在加载......,正在加載......
创建联盟,創建聯盟
我不想加入联盟,我不想加入聯盟
最低等级1,最低等級1
没有找到该联盟，请输入正确的商会联盟名称,沒有找到該聯盟，請輸入正確的商會聯盟名稱
这是玩家名字,這是玩家名字
这是联盟名字,這是聯盟名字
输入玩家的名称已查看结果,輸入玩家的名稱已查看結果
（至少三个字符）,（至少三個字符）
商会联盟搜索,商會聯盟搜索
摘要,摘要
联盟净资产：,聯盟凈資產：
联盟会长：,聯盟會長：
联盟性质：,聯盟性質：
完全开放,完全開放
加入等级：,加入等級：
加入联盟,加入聯盟
搜索联盟,搜索聯盟
退出联盟,退出聯盟
查看工人,查看工人
正在解锁图纸,正在解鎖圖紙
需要,需要
解锁后剩余,解鎖後剩余
正在使用高稀有度物品,正在使用高稀有度物品
工匠名字,工匠名字
制作速度加成,製作速度加成
详情,詳情
AI对话的翻译》↓,AI對話的翻譯》↓
没货了。,沒貨了。
这里需要补充装备。,這裏需要補充裝備。
店主，快补货。,店主，快補貨。
快乐没有了！,快樂沒有了！
这家店太火爆了,這家店太火爆了
下次来，希望有货。,下次來，希望有貨。
商店被抢劫了吗？,商店被搶劫了嗎？
需要我给你上货吗？,需要我給你上貨嗎？
什么都没有了吗？,什麽都沒有了嗎？
白来了！,白來了！
这......,這......
......,......
该补货了,該補貨了
别打盹，老板。,別打盹，老板。
你的货架有股禅意。,你的貨架有股禪意。
需要补充货物。,需要補充貨物。
货架空了。,貨架空了。
还不是休息的时候。,還不是休息的時候。
改补货了。,改補貨了。
真相就是没货了。,真相就是沒貨了。
这家店太火爆了。,這家店太火爆了。
推荐大家到这里买枪。,推薦大家到這裏買槍。
请上货，速度快。,請上貨，速度快。
克隆人可以帮你上货。,克隆人可以幫你上貨。
怎么没货，赶着救人呢？,怎麽沒貨，趕著救人呢？
这个也行！,這個也行！
我正需要这个！,我正需要這個！
完美！,完美！
这是钢枪利器！,這是鋼槍利器！
我爱这个！,我愛這個！
太完美了！,太完美了！
好家伙！,好家夥！
这个合适。,這個合適。
不错。,不錯。
很好。,很好。
没白来。,沒白來。
我找这个很久了!,我找這個很久了!
值得称赞。,值得稱贊。
好好好。,好好好。
正合我意！,正合我意！
射手的本能。,射手的本能。
离真相更进一步。,離真相更進一步。
这个就行了！,這個就行了！
这个不合适。,這個不合適。
我再看看。,我再看看。
实际点的更适合我。,實際點的更適合我。
我需要更劲爆点的。,我需要更勁爆點的。
我不喜欢这个。,我不喜歡這個。
你没开玩笑吧。,你沒開玩笑吧。
这个不行。,這個不行。
还行，我再看看。,還行，我再看看。
不合适,不合適
这个算了,這個算了
我俩并没有缘分。,我倆並沒有緣分。
这个不对。,這個不對。
需要学习更多武器。,需要學習更多武器。
这个子弹太少了,這個子彈太少了
太过脆弱。,太過脆弱。
太过笨重。,太過笨重。
我不擅长近战。,我不擅長近戰。
太过显眼。,太過顯眼。
这个算了。,這個算了。
我再仔细找找。,我再仔細找找。
嗯......,嗯......
店长看上去有点忙......,店長看上去有點忙......
柜台那里排着队呢。,櫃臺那裏排著隊呢。
店长忙的很！,店長忙的很！
柜台挤不进去。,櫃臺擠不進去。
我来的不是时候。,我來的不是時候。
看来要个大点柜台。,看來要個大點櫃臺。
生意太好了。,生意太好了。
没时间排队了。,沒時間排隊了。
柜台人满了。,櫃臺人滿了。
人太多了，我很紧张。,人太多了，我很緊張。
下次再来。,下次再來。
不必着急，自能相遇。,不必著急，自能相遇。
店长还需要帮手吗？,店長還需要幫手嗎？
错过这次机会了。,錯過這次機會了。
我这大块头挤不进去。,我這大塊頭擠不進去。
不错！,不錯！
我家里也摆着这个。,我家裏也擺著這個。
让人充满希望。,讓人充滿希望。
好想带回家。,好想帶回家。
漂亮！,漂亮！
这个值得收藏。,這個值得收藏。
这个卖吗？,這個賣嗎？
能量全给你！,能量全給你！
好看！,好看！
喜欢！,喜歡！
让我想起家乡的樱花!,讓我想起家鄉的櫻花!
这个值得收藏,這個值得收藏
这个已经很少见了。,這個已經很少見了。
我喜欢！,我喜歡！
令人兴奋！,令人興奮！
抱歉,抱歉
你好,你好
又见到你真开心！,又見到你真開心！
哈喽哈,哈嘍哈
击个掌，伙计。,擊個掌，夥計。
让一让。,讓一讓。
您好,您好
好久不见,好久不見
我认识你吗？,我認識你嗎？
别挡道,別擋道
(鞠躬),(鞠躬)
哈喽,哈嘍
新的一天开始了！,新的一天開始了！
也许还有希望。,也許還有希望。
战斗，为了活下去。,戰鬥，為了活下去。
我的队友等着我呢。,我的隊友等著我呢。
希望这次任务顺利。,希望這次任務順利。
准备突击！,準備突擊！
壁垒变得越来越好了！,壁壘變得越來越好了！
保护别人，让人幸福。,保護別人，讓人幸福。
我需要更好的护甲。,我需要更好的護甲。
都说这家店不错。,都說這家店不錯。
碰巧路过这里。,碰巧路過這裏。
我只稍作停留。,我只稍作停留。
不要忘记我们是谁！,不要忘記我們是誰！
我闻到了向日葵气息。,我聞到了向日葵氣息。
希望会产生绝望。,希望會產生絕望。
请保持硬核。,請保持硬核。
昨天的猎杀令人难忘。,昨天的獵殺令人難忘。
活下去，活下去！,活下去，活下去！
我的枪很快！,我的槍很快！
你想活多久?,你想活多久?
金牌赏金猎人登场！,金牌賞金獵人登場！
一击必杀！,一擊必殺！
速度要快，动作要静。,速度要快，動作要靜。
不能停止练习！,不能停止練習！
我会调查清楚的。,我會調查清楚的。
这家店藏着个秘密。,這家店藏著個秘密。
壁垒的空气因我而清新。,壁壘的空氣因我而清新。
枪械才是未来，我的朋友！,槍械才是未來，我的朋友！
我的枪也不错！,我的槍也不錯！
给你们看看我的新宝贝！,給你們看看我的新寶貝！
忍术里没有禁忌可言。,忍術裏沒有禁忌可言。
我没时间废话。,我沒時間廢話。
这就是我的忍道！,這就是我的忍道！
仿生人会梦见电子羊吗？,仿生人會夢見電子羊嗎？
你有名字吗？,你有名字嗎？
一起做梦怎么样！,一起做夢怎麽樣！
昨天的猎杀邻人难忘。,昨天的獵殺鄰人難忘。
人们总是很天真，|以为文明会重建，|却不知道野蛮，|才是真正的梦乡。,人們總是很天真，|以為文明會重建，|卻不知道野蠻，|才是真正的夢鄉。
为了活下来，|我牺牲了一切。,為了活下來，|我犧牲了一切。
幸存是种幸运|还是诅咒呢？,幸存是種幸運|還是詛咒呢？
伙计！|可能这世道没有正义|但看到掠夺者所做的|你会知道什么是错的。,夥計！|可能這世道沒有正義|但看到掠奪者所做的|你會知道什麽是錯的。
总要有人冲在最前面|为什么不是我？,總要有人沖在最前面|為什麽不是我？
我给壁垒带回了食物|在教堂下面分发|你可以去看看。,我給壁壘帶回了食物|在教堂下面分發|你可以去看看。
护卫征收新兵了，你有兴趣吗。,護衛征收新兵了，你有興趣嗎。
大家要多加小心|掠夺者在附近出没|希望壁垒没有被发现|不然就麻烦了。,大家要多加小心|掠奪者在附近出沒|希望壁壘沒有被發現|不然就麻煩了。
我有自己想保护得|人和土地，你呢？,我有自己想保護得|人和土地，你呢？
请保持距离，|我买完东西就走。,請保持距離，|我買完東西就走。
别想和我套近乎，|我全身都是刺，|这是我的铠甲。,別想和我套近乎，|我全身都是刺，|這是我的鎧甲。
不是因为我变强了，|所以不跟人合作;|而是孤独让我变强了！,不是因為我變強了，|所以不跟人合作;|而是孤獨讓我變強了！
趁我们还有气力，|就要分出身负。,趁我們還有氣力，|就要分出身負。
末日武士？|还是最后的武士？|多么有趣！,末日武士？|還是最後的武士？|多麽有趣！
你们个个都是|最好的稻草人，|但敌人可不是麻雀。,你們個個都是|最好的稻草人，|但敵人可不是麻雀。
你有没有看见，|我的执行官盔甲?,你有沒有看見，|我的執行官盔甲?
他们愤怒，残忍，|毫无怜悯...而你，|你比他们更糟，大开杀戒吧，|直到一切终结之时。,他們憤怒，殘忍，|毫無憐憫...而你，|你比他們更糟，大開殺戒吧，|直到一切終結之時。
外面的异兽越发强大，|做好准备吧，|和平都是暂时的。,外面的異獸越發強大，|做好準備吧，|和平都是暫時的。
别怕！不就是|苹果放你头上吗|我又不会射偏！,別怕！不就是|蘋果放你頭上嗎|我又不會射偏！
你的枪法不差吧，|要来几发吗？,你的槍法不差吧，|要來幾發嗎？
哪个更加沉重？是杀人的武器，|还是不愿面对的过去。,哪個更加沈重？是殺人的武器，|還是不願面對的過去。
我是一块石头，|我没有呼吸，|没有声音，|没有颤抖。,我是一塊石頭，|我沒有呼吸，|沒有聲音，|沒有顫抖。
当十字线把你锁定，|死神将亲吻你的额头。,當十字線把你鎖定，|死神將親吻你的額頭。
当敌人在你的射程内时|，记住！你也一样。,當敵人在你的射程內時|，記住！你也一樣。
只要是假以时日，|没有什么是不可以战胜的。,只要是假以時日，|沒有什麽是不可以戰勝的。
人类的希望的壁垒？|不过是宇宙里的破水沟。,人類的希望的壁壘？|不過是宇宙裏的破水溝。
我在执行秘密任务！|请对我的行踪保密。,我在執行秘密任務！|請對我的行蹤保密。
这把枪在发言，|他心中充满仇恨，|我只是帮他一把。,這把槍在發言，|他心中充滿仇恨，|我只是幫他一把。
你也想改枪吗？|你有故事吗？|你有酒吗？,你也想改槍嗎？|你有故事嗎？|你有酒嗎？
我自己改的枪，|已经握不动了，|他们是我的孩子，|会自己长大。,我自己改的槍，|已經握不動了，|他們是我的孩子，|會自己長大。
我早已闭上了眼睛，|光明根本就不存在。,我早已閉上了眼睛，|光明根本就不存在。
别说话，听雨......,別說話，聽雨......
事出总是突然，|而理由都是后加上的。,事出總是突然，|而理由都是後加上的。
要么就做，要么就不做。没有所谓试一试。,要麽就做，要麽就不做。沒有所謂試一試。
我本以为自己来自未来，|却发现来到了旅途终点。,我本以為自己來自未來，|卻發現來到了旅途終點。
命运？不就是身不由己，|我不喜欢这种概念。,命運？不就是身不由己，|我不喜歡這種概念。
医治疾病是做医生的原因|医治病人则是医生痛苦的根源。,醫治疾病是做醫生的原因|醫治病人則是醫生痛苦的根源。
哪有那么高超的医术，|给人希望就足够了。,哪有那麽高超的醫術，|給人希望就足夠了。
义体医生多风光！|人们已不满足于修修补补，|我快认不得他们的模样。,義體醫生多風光！|人們已不滿足於修修補補，|我快認不得他們的模樣。
机械是有灵魂的，|无视机械灵魂的家伙，|不配做机械师。,機械是有靈魂的，|無視機械靈魂的家夥，|不配做機械師。
你快看看！|最新款的机器人员工，|只要1000金条哦！,你快看看！|最新款的機器人員工，|只要1000金條哦！
哐哐哐......|吵到你了吗，抱歉，|这里有润滑油卖吗？,哐哐哐......|吵到你了嗎，抱歉，|這裏有潤滑油賣嗎？
未来即是过去，过去即是未来，|过去无法改变，而未来已经发生，|一切只是重复，直到永远？,未來即是過去，過去即是未來，|過去無法改變，而未來已經發生，|一切只是重復，直到永遠？
你知道吗，旧时代人们|对知识有着病态的崇拜，|那些不结合实际的，|片面的思考有何意义呢。,你知道嗎，舊時代人們|對知識有著病態的崇拜，|那些不結合實際的，|片面的思考有何意義呢。
是什么呢？|为什么呢？|所以呢？|还有呢？,是什麽呢？|為什麽呢？|所以呢？|還有呢？
生为有限身，死作无名鬼。,生為有限身，死作無名鬼。
你是人间怨灵，|还是山间野鬼？,你是人間怨靈，|還是山間野鬼？
付过钱了吗？|那我可以教你点东西。,付過錢了嗎？|那我可以教你點東西。
说我不讲武德，|先打败我再说,說我不講武德，|先打敗我再說
各种各样的武器，|杀人的工具？|赚钱的饭碗而已。,各種各樣的武器，|殺人的工具？|賺錢的飯碗而已。
建筑与科技名称的翻译》↓,建築與科技名稱的翻譯》↓
铁矿厂,鐵礦廠
伐木场,伐木場
皮革厂,皮革廠
纺织厂,紡織廠
化学制剂厂,化學製劑廠
炼钢厂,煉鋼廠
橡胶工厂,橡膠工廠
炼油厂,煉油廠
玻璃厂,玻璃廠
芯片工厂,芯片工廠
酒吧,酒吧
贸易所,貿易所
商会联盟,商會聯盟
科学院,科學院
铸造工艺,鑄造工藝
木材工艺,木材工藝
服装工艺,服裝工藝
手工工艺,手工工藝
化学工艺,化學工藝
枪械工艺,槍械工藝
工程工艺,工程工藝
精密工艺,精密工藝
艺术工艺,藝術工藝
尖端科技,尖端科技
康复研究,康復研究
探险研究,探險研究
指挥研究,指揮研究
建筑与科技描述的翻译》↓,建築與科技描述的翻譯》↓
修复的铁矿厂，可以源源不断的产出铁矿。,修復的鐵礦廠，可以源源不斷的產出鐵礦。
修复的伐木厂，可以源源不断的产出木材。,修復的伐木廠，可以源源不斷的產出木材。
修复的皮革厂，可以源源不断的产出皮革。,修復的皮革廠，可以源源不斷的產出皮革。
修复的纺织厂，可以源源不断的产出布料。,修復的紡織廠，可以源源不斷的產出布料。
修复的化学制剂厂，可以源源不断的产出药剂。,修復的化學製劑廠，可以源源不斷的產出藥劑。
修复的炼钢厂，可以源源不断的产出钢材。,修復的煉鋼廠，可以源源不斷的產出鋼材。
修复的橡胶工厂，可以源源不断的产出橡胶。,修復的橡膠工廠，可以源源不斷的產出橡膠。
修复的炼油厂，可以源源不断的产出油料。,修復的煉油廠，可以源源不斷的產出油料。
修复的玻璃厂，可以源源不断的产出特殊玻璃。,修復的玻璃廠，可以源源不斷的產出特殊玻璃。
修复的芯片工厂，可以源源不断的产出电路元件。,修復的芯片工廠，可以源源不斷的產出電路元件。
科学院的科研小组成立的铸造工艺研究项目,科學院的科研小組成立的鑄造工藝研究項目
科学院的科研小组成立的木材工艺研究项目,科學院的科研小組成立的木材工藝研究項目
科学院的科研小组成立的服装工艺研究项目,科學院的科研小組成立的服裝工藝研究項目
科学院的科研小组成立的手工工艺研究项目,科學院的科研小組成立的手工工藝研究項目
科学院的科研小组成立的化学工艺研究项目,科學院的科研小組成立的化學工藝研究項目
科学院的科研小组成立的枪械工艺研究项目,科學院的科研小組成立的槍械工藝研究項目
科学院的科研小组成立的工程工艺研究项目,科學院的科研小組成立的工程工藝研究項目
科学院的科研小组成立的精密工艺研究项目,科學院的科研小組成立的精密工藝研究項目
科学院的科研小组成立的艺术工艺研究项目,科學院的科研小組成立的藝術工藝研究項目
科学院的科研小组成立的尖端科技研究项目,科學院的科研小組成立的尖端科技研究項目
科学院的科研小组成立的康复研究项目,科學院的科研小組成立的康復研究項目
科学院的科研小组成立的探险研究项目,科學院的科研小組成立的探險研究項目
科学院的科研小组成立的指挥研究项目,科學院的科研小組成立的指揮研究項目
改造铁矿厂，将提升铁矿生产效率。,改造鐵礦廠，將提升鐵礦生產效率。
改造伐木场，将提升木材生产效率。,改造伐木場，將提升木材生產效率。
改造皮革厂，将提升皮革生产效率。,改造皮革廠，將提升皮革生產效率。
改造纺织厂，将提升布料生产效率。,改造紡織廠，將提升布料生產效率。
